"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate"
746646,"7825869b-335a-485f-897f-4982140227a9","/api/v1.1/game/746646/feed/live","R","2024","2024-04-25T17:10:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-746646-2024-04-25","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,8,14,12,".538",111,"Boston Red Sox","/api/v1/teams/111",6,TRUE,FALSE,8,18,7,".720",114,"Cleveland Guardians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/746646/content",NA,NA
746724,"c3d60e88-fd6d-4198-a791-3545654a75c1","/api/v1.1/game/746724/feed/live","R","2024","2024-04-25T17:10:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-746724-2024-04-25","2024","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,8,16,10,".615",143,"Philadelphia Phillies","/api/v1/teams/143",0,FALSE,FALSE,8,14,11,".560",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/746724/content",NA,NA
745918,"747f9a17-6d4e-49e3-bcbc-3183d10a8b80","/api/v1.1/game/745918/feed/live","R","2024","2024-04-25T17:10:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-745918-2024-04-25","2024","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,3,22,".120",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,8,11,13,".458",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/745918/content",NA,NA
746320,"3f237825-fcb7-4c6e-968f-b7db3a1ec04f","/api/v1.1/game/746320/feed/live","R","2024","2024-04-25T18:10:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-746320-2024-04-25","2024","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Completed Early","FG",FALSE,"F","Wet Grounds",1,FALSE,FALSE,8,13,13,".500",141,"Toronto Blue Jays","/api/v1/teams/141",2,TRUE,FALSE,8,16,10,".615",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/746320/content",NA,NA
746887,"ed6fdfda-1e3a-4b72-8487-411080c09083","/api/v1.1/game/746887/feed/live","R","2024","2024-04-25T18:20:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-746887-2024-04-25","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,8,7,19,".269",117,"Houston Astros","/api/v1/teams/117",3,TRUE,FALSE,8,16,9,".640",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/746887/content",NA,NA
745027,"847a46b2-5e20-4291-9542-b5804d769131","/api/v1.1/game/745027/feed/live","R","2024","2024-04-25T18:35:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-745027-2024-04-25","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,8,13,12,".520",136,"Seattle Mariners","/api/v1/teams/136",3,FALSE,FALSE,8,13,13,".500",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/745027/content",NA,NA
746564,"addb81bd-5b58-410a-aa5b-0dc3346ca993","/api/v1.1/game/746564/feed/live","R","2024","2024-04-25T19:10:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-746564-2024-04-25","2024","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,FALSE,FALSE,9,14,14,".500",135,"San Diego Padres","/api/v1/teams/135",10,TRUE,FALSE,8,7,19,".269",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/746564/content",NA,NA
744867,"71b94692-297a-4576-bc7b-39c4d7b39d43","/api/v1.1/game/744867/feed/live","R","2024","2024-04-25T20:05:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-744867-2024-04-25","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,9,16,11,".593",119,"Los Angeles Dodgers","/api/v1/teams/119",1,FALSE,FALSE,9,10,14,".417",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/744867/content",NA,NA
745755,"e2a84401-8a78-4283-b418-56a3b9e1bde9","/api/v1.1/game/745755/feed/live","R","2024","2024-04-25T23:05:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-745755-2024-04-25","2024","night",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,8,10,16,".385",133,"Oakland Athletics","/api/v1/teams/133",1,FALSE,FALSE,8,17,9,".654",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/745755/content",NA,NA
746482,"8f9817b7-f0e8-45d8-aca3-e1ed1cebd298","/api/v1.1/game/746482/feed/live","R","2024","2024-04-26T17:10:00Z","2024-04-26",FALSE,1,TRUE,"N","P","N","14-746482-2024-04-26","2024","day",NA,9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,9,17,10,".630",118,"Kansas City Royals","/api/v1/teams/118",0,FALSE,FALSE,9,14,12,".538",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/746482/content",NA,NA
